"logins","type","repo","avatar"
"DianaClemencia","code",".github","https://avatars.githubusercontent.com/u/141862783?v=4"
"djpo312","issue_authors","sivirep","https://avatars.githubusercontent.com/u/130064349?v=4"
"DxChen0126","issue_authors","epiparameter","https://avatars.githubusercontent.com/u/110654660?u=00e4b568576cab678c18663e3f84b5b7fb99332e&v=4"
"edwinvanl","issue_contributors","finalsize","https://avatars.githubusercontent.com/u/214832250?v=4"
"ekamau","issue_authors","serofoi","https://avatars.githubusercontent.com/u/7207204?v=4"
"EmilieFinch","code","climateR0","https://avatars.githubusercontent.com/u/63869120?v=4"
"epiverse-trace-bot","code",".github, epiverse-trace.github.io, linelist","https://avatars.githubusercontent.com/u/115572122?v=4"
"erees","issue_authors","finalsize","https://avatars.githubusercontent.com/u/22442251?v=4"
"ErikaCantor","code","vaccineff","https://avatars.githubusercontent.com/u/63528090?v=4"
"ernestocpc","code","shinyapps-tracelac","https://avatars.githubusercontent.com/u/88865467?v=4"
"ffinger","code","epichains","https://avatars.githubusercontent.com/u/12323626?v=4"
"fsabrilb","issue_authors","vaccineff","https://avatars.githubusercontent.com/u/30728976?v=4"
"GAcero02","issue_authors","sivirep","https://avatars.githubusercontent.com/u/119520363?u=c1b30b56f3223a3057e3d59da57d13186940680c&v=4"
"GeraldineGomez","code, issue_authors","blueprints, epi-training-kit, epimodelac, epiverse-trace.github.io, epiverse-trace.r-universe.dev, serofoi, sivirep, translation-epitkit, vaccineff","https://avatars.githubusercontent.com/u/46997659?v=4"
"github-actions[bot]","code",".github, epiCo, epiverse, epiverse-trace.github.io, safeframe","https://avatars.githubusercontent.com/in/15368?v=4"
"gmatov","issue_authors","cleanepi","https://avatars.githubusercontent.com/u/224993666?v=4"
"gsgomezm","code","serofoi, sivirep","https://avatars.githubusercontent.com/u/142353132?v=4"
"hadley","code","epiCo","https://avatars.githubusercontent.com/u/4196?v=4"
"hawyndiaz",NA,NA,"https://avatars.githubusercontent.com/u/150168036?v=4"
"hyolimkang","issue_authors","serofoi","https://avatars.githubusercontent.com/u/66198338?u=e8557c295ca2f8b89182e0a3c4d1781e160fd3f7&v=4"
"iamjessclark","issue_authors","serofoi","https://avatars.githubusercontent.com/u/14889524?u=3e9e16206453fc5b8d2788d3486c3c28c31a3262&v=4"
"jameshay218","issue_authors","serofoi","https://avatars.githubusercontent.com/u/9113187?v=4"
"jamesmbaazam","code, issue_authors, issue_contributors",".github, blueprints, cfr, cleanepi, epichains, epidemics, epiparameter, epiparameterDashboard, epiparameterDB, episoap, epiverse_demos, epiverse-trace.github.io, epiversetheme, etstats, hex-stickers, howto, packagetemplate, serofoi, simulist, superspreading, tutorials-late, tutorials-middle","https://avatars.githubusercontent.com/u/43169674?u=8adb84661558e615c29319340ad2da09a85458c9&v=4"
"jayhesselberth","issue_contributors","epiversetheme","https://avatars.githubusercontent.com/u/355367?u=dbcf195610a46f29de1c6000a9639ca473c65649&v=4"
"jd-otero","code","ColOpenData, epiCo, iraca","https://avatars.githubusercontent.com/u/56242573?v=4"
"JDConejeros","issue_authors","serofoi","https://avatars.githubusercontent.com/u/43749364?u=3a7249ac04a2ff769d128d41f92b7e203108e055&v=4"
"jennmual","code","sivirep","https://avatars.githubusercontent.com/u/123273358?v=4"
"jfberner","issue_authors","ColOpenData","https://avatars.githubusercontent.com/u/75185995?u=35fe69f2c64c7a66da49d4f39894205bf076702b&v=4"
"jfunction","issue_contributors","epiparameter","https://avatars.githubusercontent.com/u/1636190?v=4"
"jlessler","issue_authors","epiparameter","https://avatars.githubusercontent.com/u/4983095?v=4"
"johanaatorress","issue_authors","epiCo","https://avatars.githubusercontent.com/u/148384716?v=4"
"josejbocanegra","code","shinyapps-tracelac","https://avatars.githubusercontent.com/u/22149464?v=4"
"joshwlambert","code, issue_authors, issue_contributors",".github, blueprints, cfr, cleanepi, climateR0, epichains, epiCo, epidemics, epiparameter, epiparameterDB, epishowcase, episoap, epiverse, epiverse_demos, epiverse-trace.github.io, finalsize, hex-stickers, howto, linelist, numberize, packagetemplate, quickfit, safeframe, simulist, superspreading, tracetheme, tutorials, tutorials-middle","https://avatars.githubusercontent.com/u/46606402?v=4"
"Joskerus","code","epi-training-kit, epimodelac, epitkit, translation-epitkit","https://avatars.githubusercontent.com/u/98434743?v=4"
"jpavlich","code","blueprints, packagetemplate, serofoi, sivirep, vaccineff","https://avatars.githubusercontent.com/u/1485744?v=4"
"juan-umana","code, issue_authors","blueprints, epiCo, epiverse-trace.github.io","https://avatars.githubusercontent.com/u/64109621?u=b4097abb1d092e3a1e217c6d69a02a27aad5608e&v=4"
"juanitaromerog","issue_contributors","sivirep","https://avatars.githubusercontent.com/u/159048638?v=4"
"Juanmontenegro99","code, issue_contributors","epiCo, iraca, shinyapps-tracelac, tracetheme","https://avatars.githubusercontent.com/u/60274234?v=4"
"kabuga1987","code","readepi","https://avatars.githubusercontent.com/u/33763198?v=4"
"Karim-Mane","code, issue_authors","blueprints, cleanepi, epidemics, epiparameter, epiverse-trace.github.io, epiversetheme, gam-summit, hex-stickers, linelist, numberize, packagetemplate, readepi, showcasedata, simulist, tutorials-early","https://avatars.githubusercontent.com/u/84502011?v=4"
"kcharniga","issue_contributors","epimodelac","https://avatars.githubusercontent.com/u/32932075?v=4"
"KebbaSecka","code","gam-summit","https://avatars.githubusercontent.com/u/55898380?v=4"
"kellymccain28","issue_contributors","epiparameter","https://avatars.githubusercontent.com/u/78891336?u=46004767ac90276d5987825d218c24b3c1290b31&v=4"
"krlmlr",NA,NA,"https://avatars.githubusercontent.com/u/1741643?v=4"
"lagbermeo","code","epi-training-kit","https://avatars.githubusercontent.com/u/161387260?v=4"
"lgbermeo","issue_contributors","epi-training-kit, epiparameter","https://avatars.githubusercontent.com/u/123580898?u=df733a3319cdf426f130118da90792990798f7f2&v=4"
"Liu499-create","issue_authors","tutorials-middle","https://avatars.githubusercontent.com/u/179777915?v=4"
"LloydChapman","issue_authors, issue_contributors","cleanepi, epidemics","https://avatars.githubusercontent.com/u/22941537?v=4"
"macataci","code","ColOpenData","https://avatars.githubusercontent.com/u/88789311?v=4"
"maelle","code","blueprints, epiparameter","https://avatars.githubusercontent.com/u/8360597?v=4"
"maguiNdong","issue_contributors","epiverse-trace.github.io","https://avatars.githubusercontent.com/u/5518146?v=4"
"ManuelVelarde2212","issue_authors","vaccineff","https://avatars.githubusercontent.com/u/72516305?u=f11459b575cbaabaa8f59f595d1a5189e0694e76&v=4"
"mauricio110785",NA,NA,"https://avatars.githubusercontent.com/u/24444468?v=4"
"mcnanton","code","epimodelac","https://avatars.githubusercontent.com/u/42379883?v=4"
"megamezl","issue_contributors","serofoi","https://avatars.githubusercontent.com/u/79583759?v=4"
"mfpiracocam","code","iraca","https://avatars.githubusercontent.com/u/30726423?v=4"
"MiguelGamezL","code","serofoi","https://avatars.githubusercontent.com/u/194414136?v=4"
"modiazv",NA,NA,"https://avatars.githubusercontent.com/u/122572759?v=4"
"Na-Nino",NA,NA,"https://avatars.githubusercontent.com/u/122571726?v=4"
"nikosbosse","issue_contributors","safeframe","https://avatars.githubusercontent.com/u/37978797?u=7c354307e81e0ecf84dc3f0d208402c8913f2fd7&v=4"
"nizuro","issue_authors","epiCo","https://avatars.githubusercontent.com/u/148383423?v=4"
"nlinton","issue_authors","epiparameter","https://avatars.githubusercontent.com/u/9388523?u=322d180a7d04131802e045df4e960c465d7ba380&v=4"
"npinto22","issue_authors","sivirep","https://avatars.githubusercontent.com/u/81591932?v=4"
"ntorresd","code, issue_authors","epimodelac, epiverse-trace.github.io, packagetemplate, serofoi","https://avatars.githubusercontent.com/u/45337127?v=4"
"obgeneralao","issue_authors","cleanepi","https://avatars.githubusercontent.com/u/13013814?u=5c16f3afae0b060b1e26a40ed22f8c2be4ebff97&v=4"
"odysseu","issue_authors","numberize","https://avatars.githubusercontent.com/u/55583423?u=0b962a05bf8ad8c7d7b4615298210140761b0b6e&v=4"
